231A..231B    ; Basic_Emoji                  ; watch                                                          # E0.6   [2] (⌚..⌛)
23E9..23EC    ; Basic_Emoji                  ; fast-forward button                                            # E0.6   [4] (⏩..⏬)
23F0          ; Basic_Emoji                  ; alarm clock                                                    # E0.6   [1] (⏰)
23F3          ; Basic_Emoji                  ; hourglass not done                                             # E0.6   [1] (⏳)
25FD..25FE    ; Basic_Emoji                  ; white medium-small square                                      # E0.6   [2] (◽..◾)
2614..2615    ; Basic_Emoji                  ; umbrella with rain drops                                       # E0.6   [2] (☔..☕)
2648..2653    ; Basic_Emoji                  ; Aries                                                          # E0.6  [12] (♈..♓)
267F          ; Basic_Emoji                  ; wheelchair symbol                                              # E0.6   [1] (♿)
2693          ; Basic_Emoji                  ; anchor                                                         # E0.6   [1] (⚓)
26A1          ; Basic_Emoji                  ; high voltage                                                   # E0.6   [1] (⚡)
26AA..26AB    ; Basic_Emoji                  ; white circle                                                   # E0.6   [2] (⚪..⚫)
26BD..26BE    ; Basic_Emoji                  ; soccer ball                                                    # E0.6   [2] (⚽..⚾)
26C4..26C5    ; Basic_Emoji                  ; snowman without snow                                           # E0.6   [2] (⛄..⛅)
26CE          ; Basic_Emoji                  ; Ophiuchus                                                      # E0.6   [1] (⛎)
26D4          ; Basic_Emoji                  ; no entry                                                       # E0.6   [1] (⛔)
26EA          ; Basic_Emoji                  ; church                                                         # E0.6   [1] (⛪)
26F2..26F3    ; Basic_Emoji                  ; fountain                                                       # E0.6   [2] (⛲..⛳)
26F5          ; Basic_Emoji                  ; sailboat                                                       # E0.6   [1] (⛵)
26FA          ; Basic_Emoji                  ; tent                                                           # E0.6   [1] (⛺)
26FD          ; Basic_Emoji                  ; fuel pump                                                      # E0.6   [1] (⛽)
2705          ; Basic_Emoji                  ; check mark button                                              # E0.6   [1] (✅)
270A..270B    ; Basic_Emoji                  ; raised fist                                                    # E0.6   [2] (✊..✋)
2728          ; Basic_Emoji                  ; sparkles                                                       # E0.6   [1] (✨)
274C          ; Basic_Emoji                  ; cross mark                                                     # E0.6   [1] (❌)
274E          ; Basic_Emoji                  ; cross mark button                                              # E0.6   [1] (❎)
2753..2755    ; Basic_Emoji                  ; question mark                                                  # E0.6   [3] (❓..❕)
2757          ; Basic_Emoji                  ; exclamation mark                                               # E0.6   [1] (❗)
2795..2797    ; Basic_Emoji                  ; plus                                                           # E0.6   [3] (➕..➗)
27B0          ; Basic_Emoji                  ; curly loop                                                     # E0.6   [1] (➰)
27BF          ; Basic_Emoji                  ; double curly loop                                              # E1.0   [1] (➿)
2B1B..2B1C    ; Basic_Emoji                  ; black large square                                             # E0.6   [2] (⬛..⬜)
2B50          ; Basic_Emoji                  ; star                                                           # E0.6   [1] (⭐)
2B55          ; Basic_Emoji                  ; hollow red circle                                              # E0.6   [1] (⭕)
1F004         ; Basic_Emoji                  ; mahjong red dragon                                             # E0.6   [1] (🀄)
1F0CF         ; Basic_Emoji                  ; joker                                                          # E0.6   [1] (🃏)
1F18E         ; Basic_Emoji                  ; AB button (blood type)                                         # E0.6   [1] (🆎)
1F191..1F19A  ; Basic_Emoji                  ; CL button                                                      # E0.6  [10] (🆑..🆚)
1F201         ; Basic_Emoji                  ; Japanese “here” button                                         # E0.6   [1] (🈁)
1F21A         ; Basic_Emoji                  ; Japanese “free of charge” button                               # E0.6   [1] (🈚)
1F22F         ; Basic_Emoji                  ; Japanese “reserved” button                                     # E0.6   [1] (🈯)
1F232..1F236  ; Basic_Emoji                  ; Japanese “prohibited” button                                   # E0.6   [5] (🈲..🈶)
1F238..1F23A  ; Basic_Emoji                  ; Japanese “application” button                                  # E0.6   [3] (🈸..🈺)
1F250..1F251  ; Basic_Emoji                  ; Japanese “bargain” button                                      # E0.6   [2] (🉐..🉑)
1F300..1F30C  ; Basic_Emoji                  ; cyclone                                                        # E0.6  [13] (🌀..🌌)
1F30D..1F30E  ; Basic_Emoji                  ; globe showing Europe-Africa                                    # E0.7   [2] (🌍..🌎)
1F30F         ; Basic_Emoji                  ; globe showing Asia-Australia                                   # E0.6   [1] (🌏)
1F310         ; Basic_Emoji                  ; globe with meridians                                           # E1.0   [1] (🌐)
1F311         ; Basic_Emoji                  ; new moon                                                       # E0.6   [1] (🌑)
1F312         ; Basic_Emoji                  ; waxing crescent moon                                           # E1.0   [1] (🌒)
1F313..1F315  ; Basic_Emoji                  ; first quarter moon                                             # E0.6   [3] (🌓..🌕)
1F316..1F318  ; Basic_Emoji                  ; waning gibbous moon                                            # E1.0   [3] (🌖..🌘)
1F319         ; Basic_Emoji                  ; crescent moon                                                  # E0.6   [1] (🌙)
1F31A         ; Basic_Emoji                  ; new moon face                                                  # E1.0   [1] (🌚)
1F31B         ; Basic_Emoji                  ; first quarter moon face                                        # E0.6   [1] (🌛)
1F31C         ; Basic_Emoji                  ; last quarter moon face                                         # E0.7   [1] (🌜)
1F31D..1F31E  ; Basic_Emoji                  ; full moon face                                                 # E1.0   [2] (🌝..🌞)
1F31F..1F320  ; Basic_Emoji                  ; glowing star                                                   # E0.6   [2] (🌟..🌠)
1F32D..1F32F  ; Basic_Emoji                  ; hot dog                                                        # E1.0   [3] (🌭..🌯)
1F330..1F331  ; Basic_Emoji                  ; chestnut                                                       # E0.6   [2] (🌰..🌱)
1F332..1F333  ; Basic_Emoji                  ; evergreen tree                                                 # E1.0   [2] (🌲..🌳)
1F334..1F335  ; Basic_Emoji                  ; palm tree                                                      # E0.6   [2] (🌴..🌵)
1F337..1F34A  ; Basic_Emoji                  ; tulip                                                          # E0.6  [20] (🌷..🍊)
1F34B         ; Basic_Emoji                  ; lemon                                                          # E1.0   [1] (🍋)
1F34C..1F34F  ; Basic_Emoji                  ; banana                                                         # E0.6   [4] (🍌..🍏)
1F350         ; Basic_Emoji                  ; pear                                                           # E1.0   [1] (🍐)
1F351..1F37B  ; Basic_Emoji                  ; peach                                                          # E0.6  [43] (🍑..🍻)
1F37C         ; Basic_Emoji                  ; baby bottle                                                    # E1.0   [1] (🍼)
1F37E..1F37F  ; Basic_Emoji                  ; bottle with popping cork                                       # E1.0   [2] (🍾..🍿)
1F380..1F393  ; Basic_Emoji                  ; ribbon                                                         # E0.6  [20] (🎀..🎓)
1F3A0..1F3C4  ; Basic_Emoji                  ; carousel horse                                                 # E0.6  [37] (🎠..🏄)
1F3C5         ; Basic_Emoji                  ; sports medal                                                   # E1.0   [1] (🏅)
1F3C6         ; Basic_Emoji                  ; trophy                                                         # E0.6   [1] (🏆)
1F3C7         ; Basic_Emoji                  ; horse racing                                                   # E1.0   [1] (🏇)
1F3C8         ; Basic_Emoji                  ; american football                                              # E0.6   [1] (🏈)
1F3C9         ; Basic_Emoji                  ; rugby football                                                 # E1.0   [1] (🏉)
1F3CA         ; Basic_Emoji                  ; person swimming                                                # E0.6   [1] (🏊)
1F3CF..1F3D3  ; Basic_Emoji                  ; cricket game                                                   # E1.0   [5] (🏏..🏓)
1F3E0..1F3E3  ; Basic_Emoji                  ; house                                                          # E0.6   [4] (🏠..🏣)
1F3E4         ; Basic_Emoji                  ; post office                                                    # E1.0   [1] (🏤)
1F3E5..1F3F0  ; Basic_Emoji                  ; hospital                                                       # E0.6  [12] (🏥..🏰)
1F3F4         ; Basic_Emoji                  ; black flag                                                     # E1.0   [1] (🏴)
1F3F8..1F407  ; Basic_Emoji                  ; badminton                                                      # E1.0  [16] (🏸..🐇)
1F408         ; Basic_Emoji                  ; cat                                                            # E0.7   [1] (🐈)
1F409..1F40B  ; Basic_Emoji                  ; dragon                                                         # E1.0   [3] (🐉..🐋)
1F40C..1F40E  ; Basic_Emoji                  ; snail                                                          # E0.6   [3] (🐌..🐎)
